% Model,WS240516_2D_simple_vapor_water_resonance_v1.mph
% Version,COMSOL 6.2.0.290
% Date,"May 17 2024, 07:41"
% Table,Export CSV - 
% 0 I_in (W/m^2),1 P_in (W),2 u_ratio (1),3 FOM (1),4 Q_feed (W/m^2),5 Q_air (W/m^2),6 P_feed (W),7 P_air (W),8 T_max (degC)
10000,10,100,0.07153669369794678,5936.949741655972,-3.900727865282001E-7,5.936949741655972,-3.9007278652820013E-10,22.94128112310227
10000,10,103.34410638805561,0.07550777149577076,5931.288226089962,1.5929014141941302E-9,5.931288226089962,1.5929014141941301E-12,22.925172952749392
10000,10,106.80004325145755,0.07825710060081295,5922.280707713781,-3.541679300047028E-11,5.922280707713782,-3.541679300047028E-14,22.85575176129379
10000,10,110.37155032027569,0.08106939575243625,5914.958960692656,1.1257770375889586E-7,5.914958960692656,1.1257770375889586E-10,22.77990268196868
10000,10,114.06249238513203,0.08412893734604977,5905.22475518187,-1.0709779619583588E-7,5.90522475518187,-1.0709779619583588E-10,22.716745343249272
10000,10,117.87686347935879,0.08728631257922306,5893.919342383483,6.03880447237274E-8,5.893919342383483,6.03880447237274E-11,22.67458914354671
10000,10,121.8187912010116,0.09049790246233214,5881.489750932011,1.5166107720022968E-7,5.881489750932011,1.5166107720022968E-10,22.664347519119644
10000,10,125.89254117941675,0.09389213578145182,5869.015728861346,1.2803303405936701E-7,5.8690157288613465,1.2803303405936701E-10,22.673775158487103
10000,10,130.10252169108315,0.09733288664392796,5856.202565593402,2.741784145059529E-9,5.856202565593402,2.741784145059529E-12,22.684121059393306
10000,10,134.45328842997608,0.10093926931610062,5842.258028507057,-8.625636204095868E-6,5.842258028507057,-8.625636204095868E-9,22.69576664872733
10000,10,138.94954943731375,0.10474079015083579,5827.797884963624,-2.4273536021863103E-6,5.827797884963624,-2.42735360218631E-9,22.709906025946168
10000,10,143.59617019622144,0.10869504820237592,5812.697528681463,-2.2124492206551203E-5,5.812697528681463,-2.2124492206551202E-8,22.724272988431437
10000,10,148.39817889675646,0.11285372162221734,5797.357448860596,-8.227378466487746E-6,5.797357448860597,-8.227378466487747E-9,22.73891288082808
10000,10,153.36077187700124,0.11707059658633803,5781.03370102602,-2.279561493623059E-6,5.78103370102602,-2.279561493623059E-9,22.752807627829498
10000,10,158.48931924611142,0.1215189918851097,5764.0408838731355,5.050517611881149E-7,5.764040883873135,5.050517611881149E-10,22.76740783320662
10000,10,163.78937069540646,0.12616045827570876,5746.363769422194,2.483732021313417E-7,5.746363769422194,2.4837320213134167E-10,22.7834038420973
10000,10,169.26666150378762,0.13102367519002187,5727.82961591866,-3.4900985226353816E-6,5.727829615918661,-3.4900985226353815E-9,22.7993776366813
10000,10,174.92711874398424,0.1360896050932262,5708.518920770283,-5.26000324983437E-4,5.708518920770284,-5.260003249834369E-7,22.816310619693354
10000,10,180.77686769634343,0.14134514506917867,5688.439465285334,-4.370312612326333E-4,5.6884394652853345,-4.370312612326333E-7,22.83251084625175
10000,10,186.82223847710367,0.14690019961550943,5667.479169728999,-1.5374990521473087E-5,5.667479169728999,-1.5374990521473088E-8,22.85125009605781
10000,10,193.06977288832496,0.1527126638632656,5645.603762999815,-2.5511504296002408E-5,5.645603762999816,-2.5511504296002408E-8,22.870380087152
10000,10,199.52623149688787,0.15887588404500874,5622.745129586618,-1.836062543115126E-5,5.622745129586618,-1.836062543115126E-8,22.89181938517737
10000,10,206.1986009502219,0.16535179663547525,5598.875864992286,-9.796335246570577E-6,5.598875864992285,-9.796335246570576E-9,22.913690660851387
10000,10,213.09410153667977,0.17202359008826723,5574.023410556705,-6.548777575125436E-7,5.5740234105567055,-6.548777575125437E-10,22.93524989605777
10000,10,220.22019499873758,0.17907877406274464,5548.072212007466,-7.766787647423858E-7,5.548072212007466,-7.766787647423858E-10,22.95808923540602
10000,10,227.58459260747887,0.18650193049183678,5520.8473990870525,2.5792782799142166E-7,5.520847399087053,2.579278279914217E-10,22.98306642641694
10000,10,235.1952635070959,0.19429944655810605,5492.30052642473,4.996996378313746E-7,5.492300526424731,4.996996378313746E-10,23.008522499396463
10000,10,243.06044333844088,0.20255035913791203,5462.345675894206,7.365456639887075E-7,5.4623456758942055,7.365456639887075E-10,23.036649185108217
10000,10,251.18864315095794,0.21122860870046783,5431.123974576498,2.889901693695354E-7,5.431123974576498,2.8899016936953543E-10,23.065710830438377
10000,10,259.58865861263934,0.22042151309929361,5398.333909443497,4.0748969898221747E-7,5.398333909443497,4.074896989822175E-10,23.097012445911787
10000,10,268.26957952797244,0.23004716364085756,5364.126005814305,4.872249232868566E-7,5.364126005814305,4.872249232868565E-10,23.128698804235967
10000,10,277.2407996741776,0.24018762130765267,5328.014664173022,5.481159732904954E-7,5.328014664173022,5.481159732904954E-10,23.161746872711376
10000,10,286.5120269663782,0.2510211911621833,5290.285422377083,3.9415703495117556E-7,5.2902854223770825,3.9415703495117555E-10,23.198596016398938
10000,10,296.0932939627084,0.2624632850630716,5250.75616595982,8.893197125583091E-7,5.25075616595982,8.893197125583091E-10,23.236400483455157
10000,10,305.9949687207196,0.27431409101179177,5209.387621279273,-3.4473382340563205E-6,5.209387621279273,-3.4473382340563204E-9,23.273621141580065
10000,10,316.22776601683796,0.2871214629079871,5165.587167976021,-1.7330735516286333E-5,5.165587167976021,-1.7330735516286334E-8,23.315945943818917
10000,10,326.80275894101254,0.30073832754310065,5119.6843732873185,-1.53900965168701E-5,5.119684373287319,-1.5390096516870097E-8,23.360599693964218
10000,10,337.7313908791009,0.31527180538734123,5071.24635085364,5.562582751222472E-6,5.071246350853641,5.562582751222472E-9,23.40853643972747
10000,10,349.02548789595795,0.33099940832672126,5020.070905697391,-1.2703320817763707E-6,5.020070905697391,-1.2703320817763706E-9,23.461760231624282
10000,10,360.6972715326289,0.34770525924852436,4965.791434261246,1.0105093764229261E-6,4.965791434261246,1.010509376422926E-9,23.517724791144076
10000,10,372.7593720314938,0.3657037322859619,4908.436641349377,1.0942817500918344E-6,4.908436641349377,1.0942817500918344E-9,23.578422318494063
10000,10,385.22484200367535,0.3845832640413672,4847.942777220647,1.4612777746120242E-6,4.847942777220648,1.4612777746120242E-9,23.639304367566183
10000,10,398.1071705534973,0.4050814634610432,4783.995398694134,1.7312890919404598E-6,4.783995398694134,1.7312890919404598E-9,23.706650452346878
10000,10,411.42029787528423,0.42699906799679344,4716.433249765273,1.7955166340422134E-6,4.716433249765273,1.7955166340422134E-9,23.778010081836555
10000,10,425.178630338289,0.4509720745285808,4644.7218397541355,1.5144031793219427E-6,4.644721839754135,1.5144031793219426E-9,23.856685125039007
10000,10,439.3970560760791,0.47689029805417943,4568.684687905604,1.2679529458139255E-6,4.568684687905604,1.2679529458139254E-9,23.942594104654745
10000,10,454.0909610972475,0.5050035905189746,4487.757008535619,1.453394427540392E-6,4.4877570085356195,1.4533944275403919E-9,24.03431611829984
10000,10,469.2762459348836,0.5353407662012761,4402.032264647002,1.627070514438692E-6,4.402032264647002,1.627070514438692E-9,24.132463684238246
10000,10,484.96934285282003,0.5691150050239269,4310.73834472551,1.776756112035746E-6,4.31073834472551,1.776756112035746E-9,24.24405444155576
10000,10,501.18723362727246,0.6058859961145331,4213.572404895946,2.0348256800136673E-6,4.213572404895946,2.0348256800136674E-9,24.36296662834826
10000,10,517.9474679231213,0.6463886268709025,4109.994976077414,2.0792774059112645E-6,4.109994976077415,2.0792774059112646E-9,24.493618334190444
10000,10,535.2681822847106,0.6909181808808414,3999.183338998137,1.6945414502472646E-6,3.999183338998137,1.6945414502472646E-9,24.63617868719473
10000,10,553.1681197617227,0.7408204283117611,3880.5559974978723,1.995905878670181E-6,3.8805559974978725,1.9959058786701813E-9,24.795836903275244
10000,10,571.6666501913616,0.7965975913295616,3753.610832541558,2.207100069458556E-6,3.753610832541558,2.2071000694585558E-9,24.973976179613487
10000,10,590.7837911587943,0.8591512852387065,3617.4659356248417,2.083093620107928E-6,3.6174659356248418,2.0830936201079277E-9,25.171219913401444
10000,10,610.5402296585327,0.9304395858942343,3471.287347499685,1.9008362594493976E-6,3.4712873474996853,1.9008362594493977E-9,25.397552064146964
10000,10,630.957344480193,1.0118093754224762,3314.414783928581,2.2521821303316612E-6,3.3144147839285814,2.252182130331661E-9,25.65294462167543
